"filename", "language", "HTML", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\Programming\twitter\controllers\bookMrakController.js", "JavaScript", 0, -28, 0, 0, 0, -5, -33
"d:\Programming\twitter\controllers\tweetController.js", "JavaScript", 0, -67, 0, 0, 0, -7, -74
"d:\Programming\twitter\controllers\userController.js", "JavaScript", 0, -119, 0, 0, 0, -8, -127
"d:\Programming\twitter\public\login.html", "HTML", 29, 0, 0, 0, 0, 4, 33
"d:\Programming\twitter\public\profile.html", "HTML", 65, 0, 0, 0, 2, 11, 78
"d:\Programming\twitter\public\register.html", "HTML", 31, 0, 0, 0, 0, 4, 35
"d:\Programming\twitter\public\src\images\born.svg", "XML", 0, 0, 0, 22, 1, 0, 23
"d:\Programming\twitter\public\src\images\comments.svg", "XML", 0, 0, 0, 19, 1, 0, 20
"d:\Programming\twitter\public\src\images\followers.svg", "XML", 0, 0, 0, 18, 1, 0, 19
"d:\Programming\twitter\public\src\images\home.svg", "XML", 0, 0, 0, 17, 1, 0, 18
"d:\Programming\twitter\public\src\images\images.svg", "XML", 0, 0, 0, 19, 1, 0, 20
"d:\Programming\twitter\public\src\images\joined.svg", "XML", 0, 0, 0, 17, 1, 0, 18
"d:\Programming\twitter\public\src\images\like.svg", "XML", 0, 0, 0, 19, 1, 0, 20
"d:\Programming\twitter\public\src\images\logo.svg", "XML", 0, 0, 0, 13, 1, 0, 14
"d:\Programming\twitter\public\src\images\message.svg", "XML", 0, 0, 0, 20, 1, 0, 21
"d:\Programming\twitter\public\src\images\more.svg", "XML", 0, 0, 0, 19, 1, 0, 20
"d:\Programming\twitter\public\src\images\notification.svg", "XML", 0, 0, 0, 19, 1, 0, 20
"d:\Programming\twitter\public\src\images\place.svg", "XML", 0, 0, 0, 20, 1, 0, 21
"d:\Programming\twitter\public\src\images\retweet.svg", "XML", 0, 0, 0, 22, 1, 0, 23
"d:\Programming\twitter\public\src\images\search.svg", "XML", 0, 0, 0, 20, 1, 0, 21
"d:\Programming\twitter\public\src\images\url.svg", "XML", 0, 0, 0, 17, 1, 0, 18
"d:\Programming\twitter\public\src\js\createTweet.js", "JavaScript", 0, 15, 0, 0, 0, 1, 16
"d:\Programming\twitter\public\src\js\home.js", "JavaScript", 0, 63, 0, 0, 83, 6, 152
"d:\Programming\twitter\public\src\js\login.js", "JavaScript", 0, 26, 0, 0, 0, 2, 28
"d:\Programming\twitter\public\src\js\profile.js", "JavaScript", 0, 60, 0, 0, 0, 4, 64
"d:\Programming\twitter\public\src\js\register.js", "JavaScript", 0, 33, 0, 0, 1, 3, 37
"d:\Programming\twitter\public\src\styles\index.css", "CSS", 0, 0, 160, 0, 1, 20, 181
"d:\Programming\twitter\public\src\styles\profile.css", "CSS", 0, 0, 424, 0, 0, 76, 500
"d:\Programming\twitter\public\src\styles\twitter.css", "CSS", 0, 0, 278, 0, 11, 47, 336
"d:\Programming\twitter\public\twitter.html", "HTML", 43, 0, 0, 0, 34, 13, 90
"Total", "-", 168, -17, 862, 281, 147, 171, 1612
